well_id,date,oil_rate,water_cut,gor,flowing_pressure,days_on_production
W-01,2020-01-01,3589.348403330498,0.20772181268749842,1000.0,3268.2425259339407,0
W-01,2020-01-02,3518.6138102254417,0.20773615306893925,1000.2739726027396,3267.34723967028,1
W-01,2020-01-03,3872.31869032249,0.20776237341134488,1000.5479452054796,3266.4521986569293,2
W-01,2020-01-04,3964.660060803293,0.20779632749526472,1000.8219178082192,3265.557402826707,3
W-01,2020-01-05,3807.440854595673,0.20783653573902505,1001.0958904109588,3264.6628521124476,4
W-01,2020-01-06,3902.9387238117874,0.20788214302612326,1001.3698630136987,3263.7685464470064,5
W-01,2020-01-07,3567.2278207831578,0.20793257239097987,1001.6438356164383,3262.8744857632546,6
W-01,2020-01-08,3754.9278782797464,0.20798740026848608,1001.917808219178,3261.9806699940846,7
W-01,2020-01-09,3474.0850677320536,0.20804629847826997,1002.1917808219179,3261.0870990724043,8
W-01,2020-01-10,3584.684723354666,0.20810900298640078,1002.4657534246575,3260.193772931142,9
W-01,2020-01-11,3889.52554263545,0.20817529536618465,1002.7397260273974,3259.3006915032443,10
W-01,2020-01-12,3682.674178151412,0.20824499099798624,1003.013698630137,3258.407854721675,11
W-01,2020-01-13,3949.690660796003,0.2083179311496288,1003.2876712328766,3257.515262519417,12
W-01,2020-01-14,3825.4789888304963,0.20839397743522844,1003.5616438356166,3256.6229148294715,13
W-01,2020-01-15,4229.473177457414,0.20847300780555963,1003.8356164383562,3255.7308115848577,14
W-01,2020-01-16,3742.988361122365,0.20855491356497724,1004.1095890410958,3254.838952718614,15
W-01,2020-01-17,3466.9597257334526,0.20863959709971142,1004.3835616438357,3253.9473381637963,16
W-01,2020-01-18,3718.7392270546466,0.2087269701131655,1004.6575342465753,3253.055967853479,17
W-01,2020-01-19,3548.069744746941,0.2088169522313524,1004.9315068493149,3252.1648417207557,18
W-01,2020-01-20,3903.445513072762,0.20890946988423392,1005.2054794520549,3251.2739596987362,19
W-01,2020-01-21,3731.652906854702,0.20900445539649712,1005.4794520547945,3250.3833217205515,20
W-01,2020-01-22,3698.4467975264356,0.20910184623988823,1005.7534246575342,3249.4929277193482,21
W-01,2020-01-23,3700.4456932688527,0.20920158441196107,1006.027397260274,3248.602777628293,22
W-01,2020-01-24,3857.8850715948765,0.20930361591501417,1006.3013698630136,3247.712871380571,23
W-01,2020-01-25,3639.6721732140995,0.2094078903153499,1006.5753424657536,3246.8232089093835,24
W-01,2020-01-26,3863.380025567073,0.2095143603676019,1006.8493150684932,3245.933790147953,25
W-01,2020-01-27,3911.6463046520307,0.2096229816922762,1007.1232876712328,3245.0446150295174,26
W-01,2020-01-28,3658.438820345536,0.20973371249718836,1007.3972602739727,3244.1556834873363,27
W-01,2020-01-29,3551.7883222936503,0.20984651333539966,1007.6712328767123,3243.2669954546836,28
W-01,2020-01-30,3626.386517340051,0.2099613468937233,1007.9452054794519,3242.378550864855,29
W-01,2020-01-31,3847.8118850497385,0.21007817780700938,1008.2191780821919,3241.490349651162,30
W-01,2020-02-01,3735.0848443791406,0.21019697249430294,1008.4931506849315,3240.6023917469356,31
W-01,2020-02-02,3831.7921697413594,0.21031769901367084,1008.7671232876711,3239.7146770855247,32
W-01,2020-02-03,4036.0291810123263,0.2104403269330473,1009.041095890411,3238.827205600297,33
W-01,2020-02-04,3758.018326600103,0.2105648272148952,1009.3150684931506,3237.939977224638,34
W-01,2020-02-05,3569.3740866670905,0.21069117211283905,1009.5890410958904,3237.052991891951,35
W-01,2020-02-06,3905.6009331357013,0.21081933507871722,1009.8630136986302,3236.166249535658,36
W-01,2020-02-07,3723.199461983907,0.21094929067874113,1010.1369863013698,3235.2797500891998,37
W-01,2020-02-08,3870.294873418205,0.21108101451764513,1010.4109589041097,3234.3934934860345,38
W-01,2020-02-09,3904.166626871341,0.21121448316987373,1010.6849315068494,3233.507479659639,39
W-01,2020-02-10,3538.8586267510786,0.21134967411698827,1010.958904109589,3232.621708543508,40
W-01,2020-02-11,3958.744002577967,0.21148656569058807,1011.2328767123289,3231.736180071154,41
W-01,2020-02-12,3871.9426319180257,0.21162513702013758,1011.5068493150685,3230.85089417611,42
W-01,2020-02-13,3600.120610482669,0.211765367985169,1011.7808219178081,3229.965850791925,43
W-01,2020-02-14,3761.9734641471105,0.211907239171401,1012.0547945205481,3229.0810498521655,44
W-01,2020-02-15,3752.397888899991,0.21205073183036902,1012.3287671232877,3228.1964912904186,45
W-01,2020-02-16,3709.5208096433153,0.21219582784221508,1012.6027397260273,3227.3121750402884,46
W-01,2020-02-17,3859.9431045337183,0.21234250968132531,1012.8767123287672,3226.428101035397,47
W-01,2020-02-18,3959.60430492301,0.21249076038454126,1013.1506849315068,3225.5442692093848,48
